codi,nom,tipus,emplacament,altitud,estats,coordenades.latitud,coordenades.longitud,municipi.codi,municipi.nom,comarca.codi,comarca.nom,provincia.codi,provincia.nom,xarxa.codi,xarxa.nom
UT,les Cases d'Alcanar,A,Port de les Cases d'Alcanar,3.0,"[{'codi': 2, 'dataInici': '1993-08-31T12:00Z', 'dataFi': '2001-11-11T06:00Z'}, {'codi': 1, 'dataInici': '2001-11-11T06:00Z', 'dataFi': None}]",40.55219,0.53252,430043,Alcanar,22,Montsià,43,Tarragona,1,XEMA
UU,Amposta,A,"IRTA - Estació Exp. Ebre, ctra. de Balada, s/n",3.0,"[{'codi': 2, 'dataInici': '1992-02-06T13:00Z', 'dataFi': None}]",40.70776,0.6321,430141,Amposta,22,Montsià,43,Tarragona,1,XEMA
UV,Mas de Barberans - Mitanplana,A,Finca del Sifonero,205.0,"[{'codi': 2, 'dataInici': '1992-11-17T13:00Z', 'dataFi': '2011-01-03T00:00Z'}, {'codi': 1, 'dataInici': '2011-01-03T00:00Z', 'dataFi': None}]",40.71727,0.41633,430770,Mas de Barberans,22,Montsià,43,Tarragona,1,XEMA
UW,els Alfacs,A,"IRTA Centre d'Aqüicultura, crta. Poble Nou del Delta, km 5,5",0.0,"[{'codi': 2, 'dataInici': '1994-07-06T11:00Z', 'dataFi': None}]",40.62725,0.65922,431362,La Ràpita,22,Montsià,43,Tarragona,1,XEMA
UX,Ulldecona - els Valentins,A,Comunitat de regants del Pou Valentins,210.0,"[{'codi': 2, 'dataInici': '1990-11-15T00:00Z', 'dataFi': None}]",40.62652,0.37112,431567,Ulldecona,22,Montsià,43,Tarragona,1,XEMA
UY,Os de Balaguer - el Monestir d'Avellanes,A,Quatre Vents - Monestir de les Avellanes,576.0,"[{'codi': 2, 'dataInici': '1995-07-07T00:00Z', 'dataFi': None}]",41.87912,0.76103,251569,Os de Balaguer,23,Noguera,25,Lleida,1,XEMA
U1,Cabanes - Mas de la Rajoleria,A,"Mas St. Feliu, S.A., camí de St. Feli, s/n",31.0,"[{'codi': 2, 'dataInici': '1991-06-11T00:00Z', 'dataFi': '2024-05-10T13:00Z'}, {'codi': 1, 'dataInici': '2024-05-10T13:00Z', 'dataFi': None}]",42.30648,2.95481,170307,Cabanes,2,Alt Empordà,17,Girona,1,XEMA
U2,Sant Pere Pescador,A,"Mas Blanc, Mas Fages 17",4.0,"[{'codi': 2, 'dataInici': '1989-05-01T00:00Z', 'dataFi': None}]",42.17716,3.0968,171788,Sant Pere Pescador,2,Alt Empordà,17,Girona,1,XEMA
U3,Sant Martí Sarroca,A,Mas Rabell de Fontenac,257.0,"[{'codi': 2, 'dataInici': '1997-05-24T00:00Z', 'dataFi': None}]",41.37491,1.63032,082270,Sant Martí Sarroca,3,Alt Penedès,8,Barcelona,1,XEMA
U4,Castellnou de Bages,A,Masia Can Vilaseca,507.0,"[{'codi': 2, 'dataInici': '1998-01-22T00:00Z', 'dataFi': None}]",41.83094,1.84699,080620,Castellnou de Bages,7,Bages,8,Barcelona,1,XEMA
